customer_id,signup_month,plan,region,tenure_months,monthly_charges,support_tickets,usage_score,churn
CUST1000,2024-07,Pro,North,10,25.34,2,92.8,0
CUST1001,2025-08,Basic,North,3,13.63,1,75.1,0
CUST1002,2025-03,Pro,North,18,26.47,4,55.3,0
CUST1003,2024-11,Enterprise,North,18,66.29,2,32.8,0
CUST1004,2024-08,Pro,South,17,21.45,3,69.6,0
CUST1005,2025-09,Basic,West,3,11.86,5,80.4,1
CUST1006,2024-07,Pro,West,3,19.87,1,95.0,0
CUST1007,2025-07,Basic,East,6,10.41,3,41.0,0
CUST1008,2025-11,Pro,South,13,30.06,4,55.1,0
CUST1009,2024-11,Enterprise,North,15,69.23,3,41.1,0
CUST1010,2024-11,Basic,South,9,12.45,2,47.3,0
CUST1011,2025-12,Enterprise,East,4,54.67,6,73.3,1
CUST1012,2025-09,Enterprise,East,14,62.5,1,46.4,0
CUST1013,2024-04,Basic,South,5,11.54,1,43.5,0
CUST1014,2024-08,Basic,South,2,11.58,5,75.9,1
CUST1015,2025-12,Basic,South,11,9.22,1,69.0,0
CUST1016,2024-03,Basic,West,9,7.06,3,67.0,0
CUST1017,2025-10,Basic,North,3,8.2,0,46.9,0
CUST1018,2025-09,Pro,South,9,21.23,9,85.9,0
CUST1019,2024-02,Basic,South,3,12.33,2,60.3,0
CUST1020,2025-12,Basic,South,2,12.68,4,100.0,1
CUST1021,2024-12,Pro,East,12,27.14,0,63.2,0
CUST1022,2024-06,Basic,East,10,5.96,0,13.3,1
CUST1023,2024-02,Pro,West,9,28.83,1,12.4,0
CUST1024,2025-09,Basic,North,15,14.42,0,72.5,0
CUST1025,2024-01,Basic,West,8,12.22,3,86.0,0
CUST1026,2024-12,Pro,North,5,26.52,1,44.3,0
CUST1027,2025-10,Pro,East,11,20.53,3,100.0,0
CUST1028,2024-12,Enterprise,East,2,66.66,0,93.3,0
CUST1029,2025-05,Pro,East,15,23.91,3,64.2,0
CUST1030,2024-10,Pro,West,6,25.11,3,70.8,0
CUST1031,2025-04,Basic,South,8,7.9,3,77.9,0
CUST1032,2025-03,Basic,South,5,10.01,3,97.8,0
CUST1033,2025-03,Pro,East,16,25.36,5,73.6,0
CUST1034,2025-07,Pro,South,18,30.42,0,63.8,0
CUST1035,2024-12,Enterprise,South,6,51.75,2,73.4,0
CUST1036,2025-11,Basic,West,5,10.18,2,70.7,0
